"TRANSACTION_ID","USER_ID","AMOUNT","CATEGORY","TRANSACTION_TYPE","MERCHANT_NAME","PAYMENT_APP","CITY","DEVICE_TYPE","TRANSACTION_DATETIME","STATUS"
"1","101","1657.27","Shopping","expense","Amazon","PhonePe","Bangalore","iOS","01-MAY-24 01.00.00.000000 PM","success"
"2","102","1056.55","Bills","expense","Swiggy","Paytm","Mumbai","Android","01-MAY-24 04.00.00.000000 PM","success"
"3","103","1271.79","Travel","expense","Uber","GPay","Delhi","iOS","01-MAY-24 07.00.00.000000 PM","success"
"4","104","2028.06","Entertainment","expense","Netflix","PhonePe","Chennai","Android","01-MAY-24 10.00.00.000000 PM","success"
"5","105","891.24","Groceries","transfer","Friend Transfer","Paytm","Bangalore","iOS","02-MAY-24 01.00.00.000000 AM","success"
"6","106","303.41","Food","expense","Amazon","GPay","Mumbai","Android","02-MAY-24 04.00.00.000000 AM","success"
"7","107","575.93","Shopping","expense","Swiggy","PhonePe","Delhi","iOS","02-MAY-24 07.00.00.000000 AM","success"
"8","108","2794.25","Bills","expense","Uber","Paytm","Chennai","Android","02-MAY-24 10.00.00.000000 AM","success"
"9","109","2210.97","Travel","expense","Netflix","GPay","Bangalore","iOS","02-MAY-24 01.00.00.000000 PM","success"
"10","100","1151.81","Entertainment","transfer","Friend Transfer","PhonePe","Mumbai","Android","02-MAY-24 04.00.00.000000 PM","failed"
"11","101","985.17","Groceries","expense","Amazon","Paytm","Delhi","iOS","02-MAY-24 07.00.00.000000 PM","success"
"12","102","72.15","Food","expense","Swiggy","GPay","Chennai","Android","02-MAY-24 10.00.00.000000 PM","success"
"13","103","2823.97","Shopping","expense","Uber","PhonePe","Bangalore","iOS","03-MAY-24 01.00.00.000000 AM","success"
"14","104","280.9","Bills","expense","Netflix","Paytm","Mumbai","Android","03-MAY-24 04.00.00.000000 AM","success"
"15","105","1211.16","Travel","transfer","Friend Transfer","GPay","Delhi","iOS","03-MAY-24 07.00.00.000000 AM","success"
"16","106","275.95","Entertainment","expense","Amazon","PhonePe","Chennai","Android","03-MAY-24 10.00.00.000000 AM","success"
"17","107","2928.01","Groceries","expense","Swiggy","Paytm","Bangalore","iOS","03-MAY-24 01.00.00.000000 PM","success"
"18","108","1681.57","Food","expense","Uber","GPay","Mumbai","Android","03-MAY-24 04.00.00.000000 PM","success"
"19","109","1253.32","Shopping","expense","Netflix","PhonePe","Delhi","iOS","03-MAY-24 07.00.00.000000 PM","success"
"20","100","1905.68","Bills","transfer","Friend Transfer","Paytm","Chennai","Android","03-MAY-24 10.00.00.000000 PM","failed"
"21","101","1854.56","Travel","expense","Amazon","GPay","Bangalore","iOS","04-MAY-24 01.00.00.000000 AM","success"
"22","102","263.25","Entertainment","expense","Swiggy","PhonePe","Mumbai","Android","04-MAY-24 04.00.00.000000 AM","success"
"23","103","806.17","Groceries","expense","Uber","Paytm","Delhi","iOS","04-MAY-24 07.00.00.000000 AM","success"
"24","104","2654.22","Food","expense","Netflix","GPay","Chennai","Android","04-MAY-24 10.00.00.000000 AM","success"
"25","105","1702.59","Shopping","transfer","Friend Transfer","PhonePe","Bangalore","iOS","04-MAY-24 01.00.00.000000 PM","success"
"26","106","2922.83","Bills","expense","Amazon","Paytm","Mumbai","Android","04-MAY-24 04.00.00.000000 PM","success"
"27","107","1757.12","Travel","expense","Swiggy","GPay","Delhi","iOS","04-MAY-24 07.00.00.000000 PM","success"
"28","108","1258.69","Entertainment","expense","Uber","PhonePe","Chennai","Android","04-MAY-24 10.00.00.000000 PM","success"
"29","109","2761.37","Groceries","expense","Netflix","Paytm","Bangalore","iOS","05-MAY-24 01.00.00.000000 AM","success"
"30","100","2411.23","Food","transfer","Friend Transfer","GPay","Mumbai","Android","05-MAY-24 04.00.00.000000 AM","failed"
"31","101","595.69","Shopping","expense","Amazon","PhonePe","Delhi","iOS","05-MAY-24 07.00.00.000000 AM","success"
"32","102","955.11","Bills","expense","Swiggy","Paytm","Chennai","Android","05-MAY-24 10.00.00.000000 AM","success"
"33","103","1509.95","Travel","expense","Uber","GPay","Bangalore","iOS","05-MAY-24 01.00.00.000000 PM","success"
"34","104","1108.63","Entertainment","expense","Netflix","PhonePe","Mumbai","Android","05-MAY-24 04.00.00.000000 PM","success"
"35","105","1033.45","Groceries","transfer","Friend Transfer","Paytm","Delhi","iOS","05-MAY-24 07.00.00.000000 PM","success"
"36","106","2399.79","Food","expense","Amazon","GPay","Chennai","Android","05-MAY-24 10.00.00.000000 PM","success"
"37","107","2729.09","Shopping","expense","Swiggy","PhonePe","Bangalore","iOS","06-MAY-24 01.00.00.000000 AM","success"
"38","108","235.83","Bills","expense","Uber","Paytm","Mumbai","Android","06-MAY-24 04.00.00.000000 AM","success"
"39","109","1150.32","Travel","expense","Netflix","GPay","Delhi","iOS","06-MAY-24 07.00.00.000000 AM","success"
"40","100","413.31","Entertainment","transfer","Friend Transfer","PhonePe","Chennai","Android","06-MAY-24 10.00.00.000000 AM","failed"
"41","101","1142.35","Groceries","expense","Amazon","Paytm","Bangalore","iOS","06-MAY-24 01.00.00.000000 PM","success"
"42","102","1256.08","Food","expense","Swiggy","GPay","Mumbai","Android","06-MAY-24 04.00.00.000000 PM","success"
"43","103","2508.34","Shopping","expense","Uber","PhonePe","Delhi","iOS","06-MAY-24 07.00.00.000000 PM","success"
"44","104","2881.04","Bills","expense","Netflix","Paytm","Chennai","Android","06-MAY-24 10.00.00.000000 PM","success"
"45","105","2634.27","Travel","transfer","Friend Transfer","GPay","Bangalore","iOS","07-MAY-24 01.00.00.000000 AM","success"
"46","106","1151.67","Entertainment","expense","Amazon","PhonePe","Mumbai","Android","07-MAY-24 04.00.00.000000 AM","success"
"47","107","2988.67","Groceries","expense","Swiggy","Paytm","Delhi","iOS","07-MAY-24 07.00.00.000000 AM","success"
"48","108","1517.54","Food","expense","Uber","GPay","Chennai","Android","07-MAY-24 10.00.00.000000 AM","success"
